Year,Year ending,Police Region,Local Government Area,Incidents Recorded,Rate,LGA
2019,June,2 Eastern, South Gippsland,1135,3797.637769,South Gippsland
2019,June,2 Eastern, Strathbogie,480,4406.095098,Strathbogie
2019,June,2 Eastern, Towong,164,2673.622432,Towong
2019,June,2 Eastern, Wangaratta,1691,5751.113832,Wangaratta
2019,June,2 Eastern, Wellington,3011,6748.095025,Wellington
2019,June,2 Eastern, Whitehorse,6479,3686.738213,Whitehorse
2019,June,2 Eastern, Wodonga,2455,5841.343866,Wodonga
2019,June,2 Eastern, Yarra Ranges,5808,3662.389255,Yarra Ranges
2019,June,2 Eastern,Total,84520,4939.4462,Total
2019,June,3 Southern Metro, Bayside,3797,3615.191995,Bayside
2019,June,3 Southern Metro, Cardinia,4840,4326.875799,Cardinia
2019,June,3 Southern Metro, Casey,16404,4665.701519,Casey
2019,June,3 Southern Metro, Frankston,10752,7581.494722,Frankston
2019,June,3 Southern Metro, Glen Eira,5078,3301.518777,Glen Eira
2019,June,3 Southern Metro, Greater Dandenong,14369,8647.116525,Greater Dandenong
2019,June,3 Southern Metro, Kingston,8767,5377.768781,Kingston
2019,June,3 Southern Metro, Mornington Peninsula,8085,4801.239949,Mornington Peninsula
2019,June,3 Southern Metro, Port Phillip,9645,8633.96294,Port Phillip
2019,June,3 Southern Metro, Stonnington,8232,7237.622979,Stonnington
2019,June,3 Southern Metro,Total,89969,5668.627638,Total
2019,June,4 Western, Ararat,854,7223.819997,Ararat
2019,June,4 Western, Ballarat,8118,7403.556772,Ballarat
2019,June,4 Western, Buloke,203,3295.989609,Buloke
2019,June,4 Western, Campaspe,3017,7921.961979,Campaspe
2019,June,4 Western, Central Goldfields,882,6615.165379,Central Goldfields
2019,June,4 Western, Colac Otway,1261,5728.953705,Colac Otway
2019,June,4 Western, Corangamite,488,3020.92361,Corangamite
2019,June,4 Western, Gannawarra,647,6133.282776,Gannawarra
2019,June,4 Western, Glenelg,949,4752.128192,Glenelg
2019,June,4 Western, Golden Plains,469,1972.411473,Golden Plains
2019,June,4 Western, Greater Bendigo,8364,7084.353269,Greater Bendigo
2019,June,4 Western, Greater Geelong,15835,6095.542382,Greater Geelong
2019,June,4 Western, Hepburn,643,3998.258923,Hepburn
2019,June,4 Western, Hindmarsh,257,4539.032144,Hindmarsh
2019,June,4 Western, Horsham,1373,6805.114988,Horsham
2019,June,4 Western, Loddon,377,4947.506562,Loddon
2019,June,4 Western, Macedon Ranges,1794,3580.981277,Macedon Ranges
2019,June,4 Western, Mildura,5344,9423.54829,Mildura
2019,June,4 Western, Moorabool,1613,4512.014322,Moorabool
2019,June,4 Western, Mount Alexander,850,4320.862139,Mount Alexander
2019,June,4 Western, Moyne,486,2862.69659,Moyne
2019,June,4 Western, Northern Grampians,740,6326.949384,Northern Grampians
2019,June,4 Western, Pyrenees,394,5297.122882,Pyrenees
2019,June,4 Western, Queenscliffe,123,4144.204852,Queenscliffe
2019,June,4 Western, Southern Grampians,1014,6198.04401,Southern Grampians
2019,June,4 Western, Surf Coast,922,2698.747219,Surf Coast
2019,June,4 Western, Swan Hill,1844,8622.06013,Swan Hill
2019,June,4 Western, Warrnambool,2934,8368.511124,Warrnambool
2019,June,4 Western, West Wimmera,144,3623.553095,West Wimmera
2019,June,4 Western, Yarriambiack,298,4468.436047,Yarriambiack
2019,June,4 Western,Total,62237,6114.771461,Total
2019,June,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,1392,,Justice Institutions and Immigration Facilities
2019,June,Justice Institutions and Immigration Facilities,Total,1392,,Total
2019,June,Unincorporated Vic, Unincorporated Vic,99,,Unincorporated Vic
2019,June,Unincorporated Vic,Total,99,,Total
2018,June,1 North West Metro, Banyule,7296,5631.889338,Banyule
2018,June,1 North West Metro, Brimbank,14227,6877.964119,Brimbank
2018,June,1 North West Metro, Darebin,11419,7273.294734,Darebin
2018,June,1 North West Metro, Hobsons Bay,4823,5072.570467,Hobsons Bay
2018,June,1 North West Metro, Hume,15438,6851.406407,Hume
2018,June,1 North West Metro, Maribyrnong,6745,7595.036483,Maribyrnong
2018,June,1 North West Metro, Melbourne,27583,16874.25824,Melbourne
2018,June,1 North West Metro, Melton,8109,5169.874594,Melton
2018,June,1 North West Metro, Moonee Valley,6775,5402.883665,Moonee Valley
2018,June,1 North West Metro, Moreland,11189,6301.496387,Moreland
2018,June,1 North West Metro, Nillumbik,1726,2676.259439,Nillumbik
2018,June,1 North West Metro, Whittlesea,11568,5248.234029,Whittlesea
2018,June,1 North West Metro, Wyndham,11051,4304.052844,Wyndham
2018,June,1 North West Metro, Yarra,10907,11428.12238,Yarra
2018,June,1 North West Metro,Total,148856,6881.961435,Total
2018,June,2 Eastern, Alpine,349,2725.072226,Alpine
2018,June,2 Eastern, Bass Coast,1642,4555.922422,Bass Coast
2018,June,2 Eastern, Baw Baw,2994,5714.612918,Baw Baw
2018,June,2 Eastern, Benalla,950,6716.154118,Benalla
2018,June,2 Eastern, Boroondara,5621,3135.05675,Boroondara
2018,June,2 Eastern, East Gippsland,3181,6791.929113,East Gippsland
2018,June,2 Eastern, Greater Shepparton,6032,9033.320854,Greater Shepparton
2018,June,2 Eastern, Indigo,306,1843.595614,Indigo
2018,June,2 Eastern, Knox,8459,5210.701064,Knox
2018,June,2 Eastern, Latrobe,9642,12768.66235,Latrobe
2018,June,2 Eastern, Manningham,3622,2897.692726,Manningham
2018,June,2 Eastern, Mansfield,385,4211.332312,Mansfield
