Year,Local Government Area,Criminal Incident Rate,LGA
2015, Bass Coast,"5,804.90",Bass Coast
2015, Baw Baw,"4,956.40",Baw Baw
2015, Benalla,"5,379.60",Benalla
2015, Boroondara,"3,170.80",Boroondara
2015, East Gippsland,"6,795.50",East Gippsland
2015, Greater Shepparton,"8,573.60",Greater Shepparton
2015, Indigo,"2,173.10",Indigo
2015, Knox,"4,429.70",Knox
2015, Latrobe,"11,314.70",Latrobe
2015, Manningham,"2,757.80",Manningham
2015, Mansfield,"3,892.10",Mansfield
2015, Maroondah,"5,059.10",Maroondah
2015, Mitchell,"5,866.30",Mitchell
2015, Moira,"3,749.00",Moira
2015, Monash,"3,755.30",Monash
2015, Murrindindi,"3,704.50",Murrindindi
2015, South Gippsland,"3,241.70",South Gippsland
2015, Strathbogie,"3,145.00",Strathbogie
2015, Towong,"2,298.10",Towong
2015, Wangaratta,"5,589.30",Wangaratta
2015, Wellington,"6,816.90",Wellington
2015, Whitehorse,"3,481.50",Whitehorse
2015, Wodonga,"6,335.60",Wodonga
2015, Yarra Ranges,"3,356.80",Yarra Ranges
2015, Bayside,"3,367.30",Bayside
2015, Cardinia,"4,549.40",Cardinia
2015, Casey,"4,775.20",Casey
2015, Frankston,"7,687.80",Frankston
2015, Glen Eira,"3,153.00",Glen Eira
2015, Greater Dandenong,"8,137.80",Greater Dandenong
2015, Kingston,"4,809.10",Kingston
2015, Mornington Peninsula,"4,756.00",Mornington Peninsula
2015, Port Phillip,"8,687.60",Port Phillip
2015, Stonnington,"6,860.30",Stonnington
2015, Ararat,"7,591.90",Ararat
2015, Ballarat,"8,268.70",Ballarat
2015, Buloke,"3,139.90",Buloke
2015, Campaspe,"6,230.50",Campaspe
2015, Central Goldfields,"6,247.10",Central Goldfields
2015, Colac-Otway,"4,908.10",Colac-Otway
2015, Corangamite,"2,851.20",Corangamite
2015, Gannawarra,"3,929.40",Gannawarra
2015, Glenelg,"6,911.10",Glenelg
2015, Golden Plains,"2,454.60",Golden Plains
2015, Greater Bendigo,"5,544.60",Greater Bendigo
2015, Greater Geelong,"6,447.50",Greater Geelong
