Year,Year ending,Age Group,Sex,Harm Caused Flag,Victim Reports
2019,June,45-49,Males,Medium Harm,2030
2019,June,45-49,People,High Harm,2438
2019,June,45-49,People,Low Harm,12608
2019,June,45-49,People,Medium Harm,4112
2019,June,50-54,Females,High Harm,788
2019,June,50-54,Females,Low Harm,4405
2019,June,50-54,Females,Medium Harm,1551
2019,June,50-54,Males,High Harm,968
2019,June,50-54,Males,Low Harm,6271
2019,June,50-54,Males,Medium Harm,1709
2019,June,50-54,People,High Harm,1756
2019,June,50-54,People,Low Harm,10686
2019,June,50-54,People,Medium Harm,3260
2019,June,55-59,Females,High Harm,518
2019,June,55-59,Females,Low Harm,3652
2019,June,55-59,Females,Medium Harm,1017
2019,June,55-59,Males,High Harm,696
2019,June,55-59,Males,Low Harm,5584
2019,June,55-59,Males,Medium Harm,1401
2019,June,55-59,People,High Harm,1215
2019,June,55-59,People,Low Harm,9252
2019,June,55-59,People,Medium Harm,2420
2019,June,60-64,Females,High Harm,330
2019,June,60-64,Females,Low Harm,2759
2019,June,60-64,Females,Medium Harm,689
2019,June,60-64,Males,High Harm,422
2019,June,60-64,Males,Low Harm,4231
2019,June,60-64,Males,Medium Harm,970
2019,June,60-64,People,High Harm,752
2019,June,60-64,People,Low Harm,6992
2019,June,60-64,People,Medium Harm,1659
2019,June,65-69,Females,High Harm,199
2019,June,65-69,Females,Low Harm,1920
2019,June,65-69,Females,Medium Harm,444
2019,June,65-69,Males,High Harm,266
2019,June,65-69,Males,Low Harm,2996
2019,June,65-69,Males,Medium Harm,681
2019,June,65-69,People,High Harm,465
2019,June,65-69,People,Low Harm,4923
2019,June,65-69,People,Medium Harm,1126
2019,June,70-74,Females,High Harm,144
2019,June,70-74,Females,Low Harm,1323
2019,June,70-74,Females,Medium Harm,323
2019,June,70-74,Males,High Harm,136
2019,June,70-74,Males,Low Harm,2153
2019,June,70-74,Males,Medium Harm,430
2019,June,70-74,People,High Harm,280
2019,June,70-74,People,Low Harm,3486
2019,June,70-74,People,Medium Harm,754
2019,June,75+,Females,High Harm,264
2019,June,75+,Females,Low Harm,1748
2019,June,75+,Females,Medium Harm,365
2019,June,75+,Males,High Harm,187
2019,June,75+,Males,Low Harm,2097
2019,June,75+,Males,Medium Harm,433
2019,June,75+,People,High Harm,451
2019,June,75+,People,Low Harm,3851
2019,June,75+,People,Medium Harm,799
2019,June,Total,Females,High Harm,17368
2019,June,Total,Females,Low Harm,55319
2019,June,Total,Females,Medium Harm,24007
2019,June,Total,Males,High Harm,15653
2019,June,Total,Males,Low Harm,77906
2019,June,Total,Males,Medium Harm,24242
2019,June,Total,People,High Harm,33227
2019,June,Total,People,Low Harm,135879
2019,June,Total,People,Medium Harm,48857
2018,June,0-4,Females,High Harm,216
2018,June,0-4,Females,Low Harm,23
2018,June,0-4,Females,Medium Harm,169
2018,June,0-4,Males,High Harm,188
2018,June,0-4,Males,Low Harm,29
2018,June,0-4,Males,Medium Harm,194
2018,June,0-4,People,High Harm,404
2018,June,0-4,People,Low Harm,52
2018,June,0-4,People,Medium Harm,363
2018,June,5-9,Females,High Harm,388
2018,June,5-9,Females,Low Harm,14
2018,June,5-9,Females,Medium Harm,317
2018,June,5-9,Males,High Harm,357
2018,June,5-9,Males,Low Harm,34
2018,June,5-9,Males,Medium Harm,440
2018,June,5-9,People,High Harm,745
2018,June,5-9,People,Low Harm,48
2018,June,5-9,People,Medium Harm,757
2018,June,10-14,Females,High Harm,1301
2018,June,10-14,Females,Low Harm,180
2018,June,10-14,Females,Medium Harm,917
2018,June,10-14,Males,High Harm,682
2018,June,10-14,Males,Low Harm,451
2018,June,10-14,Males,Medium Harm,894
2018,June,10-14,People,High Harm,1983
2018,June,10-14,People,Low Harm,631
2018,June,10-14,People,Medium Harm,1811
2018,June,15-17,Females,High Harm,1649
2018,June,15-17,Females,Low Harm,519
2018,June,15-17,Females,Medium Harm,982
2018,June,15-17,Males,High Harm,1055
2018,June,15-17,Males,Low Harm,891
2018,June,15-17,Males,Medium Harm,963
2018,June,15-17,People,High Harm,2704
2018,June,15-17,People,Low Harm,1410
2018,June,15-17,People,Medium Harm,1945
2018,June,18-19,Females,High Harm,839
