Year,Year ending,Police Region,Local Government Area,Family Incidents,Rate
2018,June,3 Southern Metro, Casey,4382.00,1297.28
2018,June,3 Southern Metro, Frankston,2334.00,1650.45
2018,June,3 Southern Metro, Glen Eira,913.00,599.51
2018,June,3 Southern Metro, Greater Dandenong,2432.00,1475.74
2018,June,3 Southern Metro, Kingston,1445.00,894.39
2018,June,3 Southern Metro, Mornington Peninsula,1869.00,1123.09
2018,June,3 Southern Metro, Port Phillip,1111.00,1003.83
2018,June,3 Southern Metro, Stonnington,753.00,664.68
2018,June,3 Southern Metro,Total,17045.00,1092.90
2018,June,4 Western, Ararat,241.00,2043.76
2018,June,4 Western, Ballarat,1888.00,1755.99
2018,June,4 Western, Buloke,43.00,692.65
2018,June,4 Western, Campaspe,572.00,1508.72
2018,June,4 Western, Central Goldfields,342.00,2568.15
2018,June,4 Western, Colac-Otway,305.00,1398.83
2018,June,4 Western, Corangamite,164.00,1011.22
2018,June,4 Western, Gannawarra,177.00,1671.07
2018,June,4 Western, Glenelg,275.00,1383.51
2018,June,4 Western, Golden Plains,140.00,604.31
2018,June,4 Western, Greater Bendigo,1464.00,1261.26
2018,June,4 Western, Greater Geelong,3213.00,1270.37
2018,June,4 Western, Hepburn,171.00,1076.49
2018,June,4 Western, Hindmarsh,73.00,1283.86
2018,June,4 Western, Horsham,507.00,2529.31
2018,June,4 Western, Loddon,91.00,1198.16
2018,June,4 Western, Macedon Ranges,389.00,789.78
2018,June,4 Western, Mildura,1688.00,3008.32
2018,June,4 Western, Moorabool,496.00,1432.28
2018,June,4 Western, Mount Alexander,154.00,790.51
2018,June,4 Western, Moyne,133.00,787.82
2018,June,4 Western, Northern Grampians,204.00,1754.99
2018,June,4 Western, Pyrenees,94.00,1284.15
2018,June,4 Western, Queenscliffe,14.00,474.42
2018,June,4 Western, Southern Grampians,281.00,1726.47
2018,June,4 Western, Surf Coast,159.00,486.02
2018,June,4 Western, Swan Hill,628.00,2958.91
2018,June,4 Western, Warrnambool,626.00,1799.32
2018,June,4 Western, West Wimmera,51.00,1287.23
2018,June,4 Western, Yarriambiack,94.00,1404.45
2018,June,4 Western,Total,14677.00,1466.93
2018,June,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,96.00,
2018,June,Justice Institutions and Immigration Facilities,Total,96.00,
2018,June,Unincorporated Vic, Unincorporated Vic,9.00,
2018,June,Unincorporated Vic,Total,9.00,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
